,Users,Date Created,Number of Likes,Source of Tweet,Tweet
47,Victory12 (@VictoryLaine12 ),2022-10-25 18:03:07+00:00,0,Twitter for Android,"RT @TheGentYYC: So same politician that jumped to the front of the ""Freedom"" Convoy &amp; has numerous photos shaking hands with violent extrem…"
48,Wales / Galler,2022-10-25 18:03:04+00:00,0,dlvr.it,Departures in full as Rishi Sunak embarks on Cabinet reshuffle https://t.co/YteNYwweOd https://t.co/HverwdIhO2
49,sylviaoakes,2022-10-25 18:03:03+00:00,0,Twitter for iPhone,"RT @wesstreeting: The talent pool in the Conservative Party is so shallow that they’re recycling Health Secretaries.

12 years of Conservat…"
50,Craig Webb,2022-10-25 18:03:03+00:00,0,Twitter Web App,"RT @wesstreeting: The talent pool in the Conservative Party is so shallow that they’re recycling Health Secretaries.

12 years of Conservat…"
51,Stephen Watkins,2022-10-25 18:03:02+00:00,0,Twitter for Android,RT @MimiJ9: Rishi Sunak is going to give a very very far right politician a top cabinet job. Possibly the most far right in the whole of th…
52,Christine Ellor,2022-10-25 18:02:58+00:00,0,Twitter for Android,"RT @wesstreeting: The talent pool in the Conservative Party is so shallow that they’re recycling Health Secretaries.

12 years of Conservat…"
53,Cath #Viva La Resistenza 🇺🇦,2022-10-25 18:02:57+00:00,0,Twitter for Android,"More of the same , the worst of the Conservative party , ground hog day. https://t.co/v5bcksRAUj"
54,Richard Holden,2022-10-25 18:02:57+00:00,0,Twitter Web App,"RT @GOV2UK: Jacob Rees-Mogg is furious that you keep retweeting him saying a new Prime Minister requires a General Election.

Please stop r…"
55,G Harvey,2022-10-25 18:02:56+00:00,0,Twitter Web App,RT @PoliticsJOE_UK: 🤑 Rishi Sunak A.K.A Sir Tax-a-Lot ft. the Conservative Party - I Like Big Cuts 🤑 https://t.co/isaOFbPmCk
56,Intentionally Homeless,2022-10-25 18:02:55+00:00,0,Twitter for iPhone,"RT @wesstreeting: The talent pool in the Conservative Party is so shallow that they’re recycling Health Secretaries.

12 years of Conservat…"
57,Viv,2022-10-25 18:02:51+00:00,0,Twitter for Android,"RT @wesstreeting: The talent pool in the Conservative Party is so shallow that they’re recycling Health Secretaries.

12 years of Conservat…"
58,Denise Blything,2022-10-25 18:02:51+00:00,0,Twitter for iPhone,"RT @PatrickChristys: Interesting that famous lefty footballers are willing to take millions from Qatar, and even defend the country on huma…"
59,Dr Rachel Mann,2022-10-25 18:02:49+00:00,0,Twitter for iPhone,RT @paulbayes: The Prime Minister has spoken of unity and accountability. But this Cabinet does not draw from the breadth of the Conservati…
60,Michael Topic,2022-10-25 18:02:47+00:00,0,Twitter for iPad,"RT @Number10cat: Rishi Sunak is forming a government featuring all parts of the Conservative Party: the right wing, the hard right wing and…"
61,Neil Matheson,2022-10-25 18:02:46+00:00,0,Twitter for Android,"RT @PatrickChristys: Interesting that famous lefty footballers are willing to take millions from Qatar, and even defend the country on huma…"
62,Alan Bramley,2022-10-25 18:02:42+00:00,0,Twitter for iPhone,"RT @PatrickChristys: Interesting that famous lefty footballers are willing to take millions from Qatar, and even defend the country on huma…"
