,Unnamed: 0,Users,Date Created,Number of Likes,Source of Tweet,Tweet
449,49,Udit Raj 🇮🇳,2022-10-25 18:01:28+00:00,0,Twitter for Android,"RT @SVishnuReddy: A well cultured &amp; unapologetic Hindu. Really glad to see such a humble person becoming British PM.

@RishiSunak https://t…"
450,50,Sarah 💙🏴󠁧󠁢󠁳󠁣󠁴󠁿🇪🇺#3.5%,2022-10-25 18:01:26+00:00,0,Twitter for iPhone,"RT @docrussjackson: @RishiSunak Given your insane Cabinet appointments, your lawbreaking, &amp; you're extremist economic ideology, you're *alr…"
451,51,Angus Montgomery,2022-10-25 18:01:26+00:00,0,Twitter for iPhone,"RT @Keir_Starmer: Congratulations, Rishi Sunak, on becoming Prime Minister and making history as the first British Asian PM.

The Tories ha…"
452,52,Duub,2022-10-25 18:01:25+00:00,0,Twitter for iPad,"RT @richimedhurst: We have a new Prime Minister in the UK, unelected by the British people or even the Tories. He didn’t give a single deba…"
453,53,Ayokunle,2022-10-25 18:01:23+00:00,0,Twitter for Android,The British pound gained about 1.75% so far today. The gain is good but it seems like the market has priced in all… https://t.co/RJ7qCFckoN
454,54,Jos Clark,2022-10-25 18:01:22+00:00,0,Twitter for Android,"RT @KyivIndependent: ⚡️Rishi Sunak appointed as British PM after pledging to support Ukraine. 

In July, when Sunak was competing for the p…"
455,55,LogicWins,2022-10-25 18:01:20+00:00,0,Twitter for iPhone,RT @suzseddon: New British PM Rishi Sunak is welcomed by Indian PM Modi. Who openly advocates enforcing the WEF’s globalist Agenda 2030 ont…
456,56,Bill Baillie,2022-10-25 18:01:07+00:00,0,Twitter for Android,"RT @UZI9mmmm: Britain granted India independence in 1947. New British PM Sunak, of Indian origin, denying Scotland independence referendum…"
457,57,Sajid Raza🇮🇳,2022-10-25 18:01:03+00:00,0,Twitter for Android,RT @ShashiTharoor: My take in @TheQuint today on what @RishiSunak's ascent to the Prime MInistership of the UK says about Britain and the l…
458,58,Damodar Ramasamy,2022-10-25 18:01:00+00:00,0,Twitter for Android,RT @akm1410: The only Indian to pride himself on Rishi Sunak is Mr. Narayana Murthy to have the British PM as his son in law. Everyone else…
459,59,Elaine Callander,2022-10-25 18:00:59+00:00,0,Twitter for iPhone,"RT @Botanygeek: As a British Asian, I’d feel much more like agreeing with people celebrating an Asian PM if his first moves weren’t to:

1)…"
460,60,Prathamesh Mannurkar /ಪ್ರಥಮೇಶ ಮಣ್ಣೂರಕರ್ 🇮🇳,2022-10-25 18:00:57+00:00,0,Twitter for Android,"RT @SVishnuReddy: A well cultured &amp; unapologetic Hindu. Really glad to see such a humble person becoming British PM.

@RishiSunak https://t…"
461,61,Liz,2022-10-25 18:00:56+00:00,0,Twitter for iPhone,RT @PeterSweden7: The new British PM has family ties to a company that works with digital ID and is a partner of the World Economic Forum…
462,62,ᴀsᴀɴᴛᴇᴡᴀᴀ,2022-10-25 18:00:54+00:00,0,Twitter for Android,"RT @edosadoxa: The new British PM Rishi Sunak is just 42. But you are here in 9ja campaigning for ur ancestor, the ageless one Amoda Ogunle…"
463,63,M.Azuaga Ergoien 🇪🇸,2022-10-25 18:00:54+00:00,0,Twitter for Android,"RT @richimedhurst: We have a new Prime Minister in the UK, unelected by the British people or even the Tories. He didn’t give a single deba…"
464,64,ಪುಂಡರೀಕ पुण्‍डरीक Pundareeka,2022-10-25 18:00:45+00:00,0,Twitter Web App,"imagine singing 'Hindu jagEga' in the presence of British PM 35 years ago! today, even dIpavaLi has become south as… https://t.co/c6AvinzJDb"
465,65,bobby naidu,2022-10-25 18:00:39+00:00,0,Twitter for Android,"RT @KChiruTweets: Who would have thought when India celebrates 75 years of Independence from the British, the British will get a Prime Mini…"
466,66,Rajnikant Parmar,2022-10-25 18:00:34+00:00,0,Twitter for iPhone,"RT @FISI_UK: Heartiest Congratulations to @RishiSunak on becoming the next Prime Minister of United Kingdom - youngest PM in a century
Witn…"
467,67,Ceolwulf,2022-10-25 18:00:32+00:00,0,Twitter for Android,"RT @richimedhurst: We have a new Prime Minister in the UK, unelected by the British people or even the Tories. He didn’t give a single deba…"
