Users,Date Created,Number of Likes,Source of Tweet,Tweet
Pandit Satish Kaul🚩,2022-10-25 17:57:28+00:00,0,Twitter for Android,"RT @AdityaRajKaul: Excellent Rishi Sunak edition of The Daily Show!  “I am selling the entire country to India, you ********”. Must must wa…"
Schrödinger's Asian,2022-10-25 17:57:28+00:00,0,Twitter for iPhone,"RT @BasitMahmood91: Rishi Sunak has donated more than £100,000 to Winchester College, his former school and one of the most expensive priva…"
Bonzai 💨,2022-10-25 17:57:28+00:00,0,Twitter Web App,"RT @respect65: How can it make any sense at all, for a country to spend £500 billion to combat a virus, with an IFR of less than 0.1 %. Is…"
Romik Yali Rigio,2022-10-25 17:57:27+00:00,0,Twitter for Android,"RT @htTweets: More than half of #Tory MPs have publicly backed #RishiSunak to be #Britain's next prime minister 

https://t.co/9prZtVVnH6"
AkshatD,2022-10-25 17:57:27+00:00,0,Twitter Web App,"RT @TheDailyShow: Meet Rishi Sunak, Britain's new PM who is only 42, meaning he'll probably serve well into his 42-and-a-halves https://t.c…"
mason Dancey,2022-10-25 17:57:27+00:00,0,Twitter for iPhone,"RT @Senor_Ninguno_: Rishi Sunak clearly not reading the room. 

This woman was sacked last week, SACKED! Has the severity of her actions ch…"
Maelys #fbpa #fbppr #FBPPA🕷️😷💙 🌍,2022-10-25 17:57:27+00:00,0,Twitter for Android,"RT @LBC: 'This all smacks of grubby deals to keep individual factions of the Tory Party.'

Labour's Peter Kyle slams Rishi Sunak, saying th…"
Kriśh,2022-10-25 17:57:27+00:00,0,Twitter for iPhone,"RT @TheDailyShow: Meet Rishi Sunak, Britain's new PM who is only 42, meaning he'll probably serve well into his 42-and-a-halves https://t.c…"
Tim Ryley (He/him),2022-10-25 17:57:27+00:00,0,Twitter for iPhone,"RT @YvetteCooperMP: At noon Rishi Sunak promised “integrity, professionalism &amp; accountability”

At 5pm he made Suella Braverman Home Secret…"
Sebastien Blanc,2022-10-25 17:57:27+00:00,0,Twitter for iPhone,"RT @eiecampaign: Rishi Sunak’s estimated wealth is £730 million.

A worker earning the median wage (£31,772) would need to have been workin…"
Christine Melby 💙,2022-10-25 17:57:27+00:00,0,Twitter for iPad,"RT @Women4Wes: In just thirty seconds, this construction worker from Wakefield provided analysis of Rishi Sunak’s coronation that was more…"
Schoenfelder,2022-10-25 17:57:27+00:00,0,Twitter for Android,RT @benlewismedia: Rishi Sunak missing the perfect photo opportunity- strolling past @Number10cat without stopping for a scrootch. https://…
sai sravan,2022-10-25 17:57:27+00:00,0,Twitter Web App,"RT @ARanganathan72: Three persons of Indian ancestry now have fingers on the nuclear button: Narendra Modi, Shehbaz Sharif, and Rishi Sunak."
USA NEWS 🇺🇸,2022-10-25 17:57:27+00:00,0,WordPress.com,Shock return of Suella Braverman taints Rishi Sunak’s vow to lead government with ‘integrity’ https://t.co/mbBJUEg58P
jorge vargas,2022-10-25 17:57:27+00:00,0,Twitter for iPhone,"RT @LupitaJuarezH: 🔴 Renuncia el secretario de Negocios y Energía de Gran Bretaña, Jacob Rees-Mogg, tras el nombramiento de Rishi Sunak com…"
Rebecca Labram,2022-10-25 17:57:26+00:00,0,Twitter for iPhone,"RT @RichardJMurphy: So, Rishi Sunak appoints as Home Secretary a woman who dreams of deporting victims of torture to Rwanda. Any hope that…"
Jane Mariko,2022-10-25 17:57:26+00:00,0,Twitter for iPhone,RT @BarbaraSutton15: Rishi Sunak's cabinet- same shit different shovel!
jace cottle,2022-10-25 17:57:26+00:00,0,Twitter Web App,"RT @FreedomsBritish: Here is Rishi Sunak one year ago pushing a global currency backed by central banks 

Did he think I wouldn't have this…"
Joseph Burite,2022-10-25 17:57:26+00:00,0,Twitter for Android,"RT @Number10cat: Rishi Sunak is forming a government featuring all parts of the Conservative Party: the right wing, the hard right wing and…"
Seb Alexander 💙🌹,2022-10-25 17:57:26+00:00,0,Twitter for Android,RT @PoliticsJOE_UK: 🤑 Rishi Sunak A.K.A Sir Tax-a-Lot ft. the Conservative Party - I Like Big Cuts 🤑 https://t.co/isaOFbPmCk
Diana Long🇺🇦,2022-10-25 17:57:26+00:00,0,Twitter Web App,RT @GeorgieProRadio: How did Larry know Rishi Sunak was coming?! @Number10cat https://t.co/VokQHChYDi
Mateusz,2022-10-25 17:57:26+00:00,0,Twitter for Android,RT @WBC24News: Rishi Sunak został oficjalnie mianowany premierem Wielkiej Brytanii przez króla Karola III.
The National,2022-10-25 17:57:26+00:00,0,TweetDeck,"Rishi Sunak's cabinet reshuffle sees the return of Suella Braverman and Michael Gove 

https://t.co/3NV67iDoiA"
सिद्धू जौनपुरिया,2022-10-25 17:57:26+00:00,0,Twitter for Android,"RT @AdityaRajKaul: Excellent Rishi Sunak edition of The Daily Show!  “I am selling the entire country to India, you ********”. Must must wa…"
Till,2022-10-25 17:57:26+00:00,0,Twitter for Android,RT @PoliticsPollss: Do you think new prime minister Rishi Sunak will or will not be able to unite the Conservative Party? #Politics
ARY NEWS,2022-10-25 17:57:26+00:00,1,TweetDeck,"New UK PM Rishi Sunak unveils top team as historic tenure begins

#arynews 

https://t.co/TOjFoPCyzO"
Barbara Allen,2022-10-25 17:57:26+00:00,0,Twitter Web App,"RT @Bill_Esterson: 6 days ago Suella Braverman was a security risk and was sacked as Home Secretary.
Today she’s reappointed as Home Secret…"
Amb T S Tirumurti,2022-10-25 17:57:26+00:00,0,Twitter for iPhone,"RT @ConstantinoX: 🧵 Portugal has an Indian-origin PM since 2015.

This gives us an idea of how PM Modi/India May deal with 🇬🇧 Indian origin…"
Arafat,2022-10-25 17:57:26+00:00,0,Twitter for Android,"RT @NAkufoAddo: Warm congratulations to Rt. Hon. Rishi Sunak, MP, (@RishiSunak) on becoming the 57th British Prime Minister in this difficu…"
SocratesUmerji,2022-10-25 17:57:25+00:00,0,Twitter for iPhone,RT @jeremycorbyn: Rishi Sunak's cabinet appointments are a clear signal of the pro-austerity and anti-migrant machine he intends to operate…
bk,2022-10-25 17:57:25+00:00,0,Twitter for iPhone,"RT @JamesMelville: Rishi Sunak:

“I have friends who are aristocrats. I have friends who are upper class. I have friends who are working-cl…"
bénédicte,2022-10-25 17:57:25+00:00,0,Twitter Web App,"RT @ceciestmontweet: - Bonjour, je suis Rishi Sunak, je suis nouveau, je remplace une femme.
- Bonjour, je suis Charles, tout pareil. https…"
Rich Turner 💚 🇪🇺😷,2022-10-25 17:57:25+00:00,0,Twitter for Android,"RT @TransportActio2: This shows why Rishi Sunak and Jeremy Hunt need to stop spending on new roads. We need to invest in the solutions, not…"
Jane Preston,2022-10-25 17:57:25+00:00,0,Twitter for Android,"RT @OxfordDiplomat: BREAKING: Jacob Rees-Mogg resigned from the Government. He has given his letter to Rishi Sunak. Ding, Dong, Rees-Mogg i…"
Lars Liedtke 🇪🇺,2022-10-25 17:57:25+00:00,0,Twitter for Android,"RT @MalwareTechBlog: Idk, but Rishi Sunak actually gives me a little bit of hope for the future of the UK. I'm left AF, but the fact he's a…"
Hayley Jones,2022-10-25 17:57:25+00:00,0,Twitter for iPhone,"RT @YvetteCooperMP: At noon Rishi Sunak promised “integrity, professionalism &amp; accountability”

At 5pm he made Suella Braverman Home Secret…"
Paul Da Pork Hunt & Mr Moo🇪🇺 🏴󠁧󠁢󠁷󠁬󠁳󠁿,2022-10-25 17:57:24+00:00,0,Twitter Web App,"RT @Stuzipants: When you read this and consider the gravity of the breech, and then consider that 26 hours into his tenure as U.K. Prime Mi…"
Abhishek kumar singhal🇮🇳,2022-10-25 17:57:24+00:00,0,Twitter for Android,RT @OpIndia_in: ‘भारत में मुस्लिमों को इतनी आज़ादी है कि इस्लामी मुल्कों में सोचा भी नहीं जा सकता’: IAS शाह फैसल ने अल्पसंख्यकों की प्रताड़…
SheilaP,2022-10-25 17:57:24+00:00,0,Twitter for iPad,"RT @Telegraph: 🗣️ Mark Serwotka, general secretary of the PCS union, said of Suella Braverman's return as Home Secretary: 

""It beggars bel…"
Geoff 🇬🇧 #Brexit #Patriot,2022-10-25 17:57:24+00:00,0,Twitter for Android,"RT @Sammyjoagain: Rishi Sunak is a cuckoo in the nest.....of vipers, 
He's being used but I don't think he's noticed yet.

The more I see o…"
Afzal Ahmed,2022-10-25 17:57:24+00:00,0,Twitter Web App,RT @ashajadeja325: The world notices Rishi Sunak being a teetotaler. This is great! Hinduism’s greatest gift to our planet’s health will be…
sylvie adler,2022-10-25 17:57:24+00:00,0,Twitter for iPhone,"RT @YvetteCooperMP: At noon Rishi Sunak promised “integrity, professionalism &amp; accountability”

At 5pm he made Suella Braverman Home Secret…"
Aéro,2022-10-25 17:57:24+00:00,0,Twitter for Android,RT @TPostMillennial: POSOBIEC: The financial infrastructure of the Great Reset has arrived as Rishi Sunak was named the next U.K. Prime Min…
Stirling4Europe #FBPE,2022-10-25 17:57:23+00:00,0,Twitter for Android,"RT @RichardJMurphy: So, Rishi Sunak appoints as Home Secretary a woman who dreams of deporting victims of torture to Rwanda. Any hope that…"
FieldM,2022-10-25 17:57:23+00:00,0,Twitter for Android,RT @TiernanDouieb: Rishi Sunak being the first Hindu British PM shows that we live in a tolerant country where anyone can achieve their dre…
Neha Joshi,2022-10-25 18:00:36+00:00,0,Twitter for iPhone,"RT @ARanganathan72: Left: Do not celebrate Rishi Sunak. He exhibits upper class, upper caste privilege, married into billions, attended a p…"
